Skill code ;Omschrijving
SK-384;De activiteiten van een team coördineren
SK-7225;Activiteiten plannen
SK-7261;De activiteiten van een afdeling plannen
SK-6975;Een industriële machine bevoorraden met grondstoffen of producten
SK-5981;Machines bevoorraden
SK-4145;De bevoorrading opvolgen
SK-3855;De voorraad opvolgen
SK-6973;Goederen verplaatsen naar de zone voor verzending, opslag of productie
SK-7717;Producten wegbrengen naar de zones voor verpakking, opslag of afgekeurde producten
SK-6030;De productiekwaliteit controleren
SK-7351;De kwaliteit van producten controleren
SK-9328;Ruimtes (kamers, operatiekwartier, ...) in een zorginstelling (ziekenhuis, ...) schoonmaken en ontsmetten
SK-9097;De kamers en de sanitaire voorzieningen schoonmaken en ontsmetten
SK-3247;Geautomatiseerde productieapparatuur afstellen (parameters afstellen, omstellen, ...)
SK-4912;De parameters van machines en apparatuur instellen
SK-4912;De parameters van machines en apparatuur instellen
SK-6391;De afstelling van machines aanpassen
SK-6990;Het budget van een organisatie beheren
SK-7583;Een budget beheren
SK-7707;Het budget voor een communicatiecampagne verdelen over verschillende uitgaveposten
SK-5099;Een marketingstrategie bepalen
SK-5162;Een relatiemarketing strategie bepalen
SK-4941;Informatica-infrastructuur installeren
SK-4944;Informatica-infrastructuur selecteren
SK-9107;Informatica-infrastructuur installeren, onderhouden en herstellen
